County of Residence,County of Residence Code,Mother's Single Race 6,Mother's Single Race 6 Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Mother's Nativity,Mother's Nativity Code,Births,Average Number of Prenatal Visits
"Chester County, PA",42029,White,2106-3,30-34 years,30-34,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,14,7.43
"Chester County, PA",42029,White,2106-3,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,72,9.85
"Chester County, PA",42029,White,2106-3,30-34 years,30-34,"Associate degree (AA, AS)",5,Born outside the U.S. (includes possessions),2,10,10.6
"Chester County, PA",42029,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,793,10.51
"Chester County, PA",42029,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,30,11.18
"Chester County, PA",42029,White,2106-3,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,496,10.49
"Chester County, PA",42029,White,2106-3,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,20,9.45
"Chester County, PA",42029,White,2106-3,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,104,10.52
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,8th grade or less,1,Born in the U.S. (50 US States),1,36,6.97
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,8th grade or less,1,Born outside the U.S. (includes possessions),2,16,10
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,14,7.38
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,17,10.65
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,48,8.92
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,21,10.24
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,58,10.72
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,15,9.13
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,37,10.24
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,"Associate degree (AA, AS)",5,Born outside the U.S. (includes possessions),2,10,9.56
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,417,10.49
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,17,10.33
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,312,10.71
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,24,10.75
"Chester County, PA",42029,White,2106-3,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,80,11.11
"Chester County, PA",42029,White,2106-3,40-44 years,40-44,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,11,9.36
"Chester County, PA",42029,White,2106-3,40-44 years,40-44,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,11,12.18
"Chester County, PA",42029,White,2106-3,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,51,10.16
"Chester County, PA",42029,White,2106-3,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,38,10.58
"Chester County, PA",42029,White,2106-3,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,17,11.29
"Chester County, PA",42029,More than one race,M,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,17,8.94
"Cumberland County, PA",42041,Asian,A,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,23,14.57
"Cumberland County, PA",42041,Asian,A,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,15,12.93
"Cumberland County, PA",42041,Asian,A,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,30,13.45
"Cumberland County, PA",42041,Asian,A,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,34,13.12
"Cumberland County, PA",42041,Asian,A,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,17,14.59
"Cumberland County, PA",42041,Asian,A,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,13,11.77
"Cumberland County, PA",42041,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,10,9.2
"Cumberland County, PA",42041,Black or African American,2054-5,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,10,12.1
"Cumberland County, PA",42041,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,10,11
"Cumberland County, PA",42041,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,12,11.27
"Cumberland County, PA",42041,White,2106-3,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,18,11.65
"Cumberland County, PA",42041,White,2106-3,15-19 years,15-19,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,23,9.57
"Cumberland County, PA",42041,White,2106-3,20-24 years,20-24,8th grade or less,1,Born in the U.S. (50 US States),1,10,6.67
"Cumberland County, PA",42041,White,2106-3,20-24 years,20-24,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,52,9.52
"Cumberland County, PA",42041,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,132,11.99
"Cumberland County, PA",42041,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,16,11.8
"Cumberland County, PA",42041,White,2106-3,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,65,12.06
"Cumberland County, PA",42041,White,2106-3,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,23,11.05
"Cumberland County, PA",42041,White,2106-3,25-29 years,25-29,8th grade or less,1,Born in the U.S. (50 US States),1,16,7.38
"Cumberland County, PA",42041,White,2106-3,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,52,8.52
"Cumberland County, PA",42041,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,144,11.37
"Cumberland County, PA",42041,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,12,14.09
"Cumberland County, PA",42041,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,89,12.86
"Cumberland County, PA",42041,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,12,12
"Cumberland County, PA",42041,White,2106-3,25-29 years,25-29,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,63,11.95
"Cumberland County, PA",42041,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,167,12.07
"Cumberland County, PA",42041,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,17,13
"Cumberland County, PA",42041,White,2106-3,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,59,12.08
"Cumberland County, PA",42041,White,2106-3,30-34 years,30-34,8th grade or less,1,Born in the U.S. (50 US States),1,23,5.91
"Cumberland County, PA",42041,White,2106-3,30-34 years,30-34,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,27,7.23
"Cumberland County, PA",42041,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,88,10.98
"Cumberland County, PA",42041,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,14,13.92
"Cumberland County, PA",42041,White,2106-3,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,85,11.29
"Cumberland County, PA",42041,White,2106-3,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,66,11.54
"Cumberland County, PA",42041,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,230,11.67
"Cumberland County, PA",42041,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,15,11.8
"Cumberland County, PA",42041,White,2106-3,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,137,11.39
"Cumberland County, PA",42041,White,2106-3,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,12,13.73
"Cumberland County, PA",42041,White,2106-3,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,32,11.75
"Cumberland County, PA",42041,White,2106-3,35-39 years,35-39,8th grade or less,1,Born in the U.S. (50 US States),1,14,5.07
"Cumberland County, PA",42041,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,31,11.32
"Cumberland County, PA",42041,White,2106-3,35-39 years,35-39,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,33,9.66
"Cumberland County, PA",42041,White,2106-3,35-39 years,35-39,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,27,12.85
"Cumberland County, PA",42041,White,2106-3,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,95,12.93
"Cumberland County, PA",42041,White,2106-3,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,67,11.76
"Cumberland County, PA",42041,White,2106-3,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,22,10
"Cumberland County, PA",42041,White,2106-3,40-44 years,40-44,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,10,8.33
"Cumberland County, PA",42041,White,2106-3,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,20,10
"Cumberland County, PA",42041,White,2106-3,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,10,12.9
"Cumberland County, PA",42041,More than one race,M,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,11,12.55
"Dauphin County, PA",42043,Asian,A,20-24 years,20-24,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,16,12.88
"Dauphin County, PA",42043,Asian,A,25-29 years,25-29,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,19,9.79
"Dauphin County, PA",42043,Asian,A,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,31,15.97
"Dauphin County, PA",42043,Asian,A,25-29 years,25-29,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,12,15.83
"Dauphin County, PA",42043,Asian,A,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,11,16.36
"Dauphin County, PA",42043,Asian,A,30-34 years,30-34,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,21,15.38
"Dauphin County, PA",42043,Asian,A,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,24,15.21
"Dauphin County, PA",42043,Asian,A,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,14,16.64
"Dauphin County, PA",42043,Asian,A,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,11,16.18
"Dauphin County, PA",42043,Black or African American,2054-5,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,28,9.86
"Dauphin County, PA",42043,Black or African American,2054-5,15-19 years,15-19,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,23,12.83
"Dauphin County, PA",42043,Black or African American,2054-5,20-24 years,20-24,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,26,9.65
"Dauphin County, PA",42043,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,91,12.22
"Dauphin County, PA",42043,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,15,12.8
"Dauphin County, PA",42043,Black or African American,2054-5,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,38,11.34
"Dauphin County, PA",42043,Black or African American,2054-5,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,15,10.4
"Dauphin County, PA",42043,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,99,11.78
"Dauphin County, PA",42043,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,14,12.21
"Dauphin County, PA",42043,Black or African American,2054-5,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,62,12.9
"Dauphin County, PA",42043,Black or African American,2054-5,25-29 years,25-29,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,11,13.73
"Dauphin County, PA",42043,Black or African American,2054-5,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,14,10.29
"Dauphin County, PA",42043,Black or African American,2054-5,30-34 years,30-34,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,14,10.29
"Dauphin County, PA",42043,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,61,11.59
"Dauphin County, PA",42043,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,16,12.87
"Dauphin County, PA",42043,Black or African American,2054-5,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,39,12.05
"Dauphin County, PA",42043,Black or African American,2054-5,30-34 years,30-34,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,10,10.1
"Dauphin County, PA",42043,Black or African American,2054-5,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,15,15.2
"Dauphin County, PA",42043,Black or African American,2054-5,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,12,12.75
"Dauphin County, PA",42043,Black or African American,2054-5,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,17,11.24
"Dauphin County, PA",42043,Black or African American,2054-5,35-39 years,35-39,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,17,12.71
"Dauphin County, PA",42043,Black or African American,2054-5,35-39 years,35-39,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,13,16
"Dauphin County, PA",42043,Black or African American,2054-5,35-39 years,35-39,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,16,13.93
"Dauphin County, PA",42043,White,2106-3,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,28,12.22
"Dauphin County, PA",42043,White,2106-3,15-19 years,15-19,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,27,11.41
"Dauphin County, PA",42043,White,2106-3,15-19 years,15-19,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,10,10.6
"Dauphin County, PA",42043,White,2106-3,20-24 years,20-24,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,50,9.59
"Dauphin County, PA",42043,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,101,12.78
"Dauphin County, PA",42043,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,33,12.47
"Dauphin County, PA",42043,White,2106-3,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,51,13.77
"Dauphin County, PA",42043,White,2106-3,20-24 years,20-24,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,12,10.27
"Dauphin County, PA",42043,White,2106-3,20-24 years,20-24,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,13,11.38
"Dauphin County, PA",42043,White,2106-3,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,11,14.64
"Dauphin County, PA",42043,White,2106-3,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,33,10.47
"Dauphin County, PA",42043,White,2106-3,25-29 years,25-29,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,10,14.8
"Dauphin County, PA",42043,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,128,13.2
"Dauphin County, PA",42043,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,24,12.33
"Dauphin County, PA",42043,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,82,11.91
"Dauphin County, PA",42043,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,12,12.42
"Dauphin County, PA",42043,White,2106-3,25-29 years,25-29,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,48,13.08
"Dauphin County, PA",42043,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,129,12.87
"Dauphin County, PA",42043,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,12,13.42
"Dauphin County, PA",42043,White,2106-3,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,51,13.1
"Dauphin County, PA",42043,White,2106-3,30-34 years,30-34,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,19,12.42
"Dauphin County, PA",42043,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,80,12.04
"Dauphin County, PA",42043,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,21,12.1
"Dauphin County, PA",42043,White,2106-3,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,82,12.84
"Dauphin County, PA",42043,White,2106-3,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,55,14.15
"Dauphin County, PA",42043,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,166,12.78
"Dauphin County, PA",42043,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,12,12.09
"Dauphin County, PA",42043,White,2106-3,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,114,12.44
"Dauphin County, PA",42043,White,2106-3,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,35,12.69
"Dauphin County, PA",42043,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,36,11.76
"Dauphin County, PA",42043,White,2106-3,35-39 years,35-39,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,32,12.25
"Dauphin County, PA",42043,White,2106-3,35-39 years,35-39,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,24,12.61
"Dauphin County, PA",42043,White,2106-3,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,85,12.65
"Dauphin County, PA",42043,White,2106-3,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,49,12.92
"Dauphin County, PA",42043,White,2106-3,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,26,12.28
"Dauphin County, PA",42043,White,2106-3,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,19,12.37
"Dauphin County, PA",42043,White,2106-3,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,13,13.33
"Dauphin County, PA",42043,More than one race,M,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,13,10.77
"Dauphin County, PA",42043,More than one race,M,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,26,12.12
"Dauphin County, PA",42043,More than one race,M,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,15,12
"Dauphin County, PA",42043,More than one race,M,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,17,13.12
"Dauphin County, PA",42043,More than one race,M,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,16,10.56
"Dauphin County, PA",42043,More than one race,M,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,11,15.8
"Dauphin County, PA",42043,More than one race,M,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,11,10.09
"Delaware County, PA",42045,Asian,A,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,21,8.4
"Delaware County, PA",42045,Asian,A,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,29,10.07
"Delaware County, PA",42045,Asian,A,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,10,9.2
"Delaware County, PA",42045,Asian,A,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,24,8.74
"Delaware County, PA",42045,Asian,A,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,21,11.65
"Delaware County, PA",42045,Asian,A,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,49,9.65
"Delaware County, PA",42045,Asian,A,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,41,9.65
"Delaware County, PA",42045,Asian,A,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born outside the U.S. (includes possessions),2,14,10.29
"Delaware County, PA",42045,Asian,A,35-39 years,35-39,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,10,8.6
"Delaware County, PA",42045,Asian,A,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,29,10.5
"Delaware County, PA",42045,Asian,A,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,26,11.24
"Delaware County, PA",42045,Asian,A,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born outside the U.S. (includes possessions),2,10,10
"Delaware County, PA",42045,Black or African American,2054-5,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,43,7.51
"Delaware County, PA",42045,Black or African American,2054-5,15-19 years,15-19,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,34,9.76
"Delaware County, PA",42045,Black or African American,2054-5,15-19 years,15-19,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,10,10.33
"Delaware County, PA",42045,Black or African American,2054-5,20-24 years,20-24,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,22,7.95
"Delaware County, PA",42045,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,182,8.85
"Delaware County, PA",42045,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,23,9.33
"Delaware County, PA",42045,Black or African American,2054-5,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,87,9.57
"Delaware County, PA",42045,Black or African American,2054-5,20-24 years,20-24,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,16,9.31
"Delaware County, PA",42045,Black or African American,2054-5,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,20,11.33
"Delaware County, PA",42045,Black or African American,2054-5,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,19,7.76
"Delaware County, PA",42045,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,158,8.81
"Delaware County, PA",42045,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,40,8.03
"Delaware County, PA",42045,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Unknown or Not Stated,3,20,6.74
"Delaware County, PA",42045,Black or African American,2054-5,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,110,9.29
"Delaware County, PA",42045,Black or African American,2054-5,25-29 years,25-29,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,12,8.92
"Delaware County, PA",42045,Black or African American,2054-5,25-29 years,25-29,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,25,8.54
"Delaware County, PA",42045,Black or African American,2054-5,25-29 years,25-29,"Associate degree (AA, AS)",5,Born outside the U.S. (includes possessions),2,15,11.07
"Delaware County, PA",42045,Black or African American,2054-5,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,64,10.41
"Delaware County, PA",42045,Black or African American,2054-5,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,20,8.11
"Delaware County, PA",42045,Black or African American,2054-5,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,13,12.46
"Delaware County, PA",42045,Black or African American,2054-5,30-34 years,30-34,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,13,8.92
"Delaware County, PA",42045,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,111,8.79
"Delaware County, PA",42045,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,47,9.63
